#_elements,Avg_SeqSearch,Avg_BinSearch,
873,840.8125,9.8125,
874,845.4375,9.875,
875,801.65625,9.75,
876,836.28125,10.0,
877,831.78125,9.96875,
878,771.46875,9.90625,
879,710.59375,9.5625,
880,780.28125,10.09375,
881,701.4375,9.8125,
882,820.6875,9.96875,
883,788.84375,9.5625,
884,877.875,9.84375,
885,802.34375,9.90625,
886,816.375,9.875,
887,823.46875,9.84375,
888,885.0625,9.84375,
889,773.59375,9.875,
890,757.59375,9.96875,
891,807.8125,9.875,
892,795.8125,10.03125,
893,797.8125,9.90625,
894,849.5,10.0,
895,825.34375,10.0,
896,828.03125,9.71875,
897,817.78125,9.78125,
898,839.09375,9.9375,
899,837.53125,10.0,
900,856.40625,9.9375,
901,792.625,9.5625,
902,870.4375,9.90625,
903,811.6875,9.78125,
904,757.15625,9.84375,
905,814.0625,9.90625,
906,851.96875,9.78125,
907,790.375,9.875,
908,794.59375,9.84375,
909,883.53125,9.65625,
910,847.28125,9.9375,
911,868.3125,9.875,
912,788.125,9.875,
913,834.15625,9.9375,
914,769.375,9.84375,
915,752.28125,10.0,
916,736.15625,9.875,
917,785.75,9.71875,
918,827.625,10.03125,
919,883.59375,9.96875,
920,907.0625,9.875,
921,845.59375,10.0,
922,855.1875,9.96875,
923,865.71875,10.0,
924,798.03125,9.875,
925,805.75,9.875,
926,818.9375,9.96875,
927,840.375,9.6875,
928,852.4375,10.0,
929,820.40625,9.9375,
930,864.625,10.0,
931,854.90625,9.84375,
932,863.34375,10.03125,
933,831.34375,9.96875,
934,845.1875,9.90625,
935,817.4375,9.8125,
936,811.875,9.65625,
937,870.625,9.65625,
938,909.90625,10.03125,
939,861.09375,9.75,
940,779.0,9.84375,
941,885.34375,9.96875,
942,826.5,9.8125,
943,785.1875,9.71875,
944,841.3125,10.03125,
945,847.75,9.875,
946,864.3125,9.78125,
947,850.5625,9.78125,
948,862.4375,9.8125,
949,871.8125,10.0625,
950,871.09375,10.0,
951,822.75,9.90625,
952,799.21875,10.0,
953,757.71875,9.75,
954,916.03125,9.9375,
955,913.09375,10.03125,
956,885.09375,9.90625,
957,842.15625,10.0625,
958,871.25,9.875,
959,887.59375,9.90625,
960,874.125,9.90625,
961,844.59375,9.875,
962,876.25,9.59375,
963,892.4375,9.8125,
964,877.375,10.0,
965,834.96875,9.96875,
966,916.375,10.0,
967,778.03125,9.90625,
968,910.375,9.875,
969,844.4375,10.0,
970,903.0625,9.9375,
971,859.59375,9.9375,
972,875.40625,9.90625,
973,854.5,10.03125,
974,904.5625,9.90625,
975,879.15625,10.09375,
976,844.03125,9.9375,
977,878.9375,9.96875,
978,855.28125,10.0625,
979,853.8125,9.875,
980,901.3125,10.0,
981,899.625,9.96875,
982,837.40625,10.03125,
983,861.53125,9.875,
984,860.28125,9.84375,
985,845.5,9.90625,
986,905.125,9.8125,
987,890.625,9.96875,
988,930.3125,10.125,
989,906.28125,10.0625,
990,831.125,10.0625,
991,907.5625,10.03125,
992,878.28125,10.0,
993,916.9375,10.03125,
994,890.09375,9.8125,
995,909.78125,10.09375,
996,900.1875,10.09375,
997,903.0,10.0625,
998,874.5,10.21875,
999,920.3125,10.0,
1000,955.75,10.0625,
1001,914.625,10.0,
1002,934.59375,9.875,
1003,928.625,10.03125,
1004,914.21875,9.78125,
1005,852.21875,9.96875,
1006,901.84375,9.84375,
1007,973.96875,9.9375,
1008,960.96875,10.0,
1009,938.78125,9.46875,
1010,897.0625,9.90625,
1011,923.4375,9.875,
1012,957.65625,9.96875,
1013,886.34375,10.15625,
1014,904.59375,10.09375,
1015,1015.0,10.0,
1016,952.6875,10.09375,
1017,915.34375,9.75,
1018,854.28125,9.96875,
1019,873.9375,9.875,
1020,913.125,10.09375,
1021,900.03125,9.875,
1022,935.65625,10.0625,
1023,1002.59375,10.09375,
1024,874.3125,9.9375,
1025,898.03125,9.875,
1026,923.71875,10.03125,
1027,972.03125,10.0,
1028,979.25,10.0625,
1029,923.1875,9.9375,
1030,908.0,9.9375,
1031,892.1875,9.78125,
1032,902.78125,9.9375,
1033,966.375,9.84375,
1034,906.90625,9.8125,
1035,947.5625,10.0625,
1036,974.5,9.9375,
1037,957.8125,9.96875,
1038,879.46875,10.1875,
1039,957.21875,9.9375,
1040,958.59375,10.15625,
1041,856.3125,10.09375,
1042,975.46875,10.15625,
1043,953.84375,10.125,
1044,934.34375,10.21875,
1045,925.78125,10.03125,
1046,915.09375,10.125,
1047,999.78125,10.09375,
1048,940.15625,10.09375,
1049,976.4375,10.03125,
1050,972.0,9.9375,
1051,967.75,9.9375,
1052,942.5,9.96875,
1053,937.96875,10.15625,
1054,946.5,10.0625,
1055,927.34375,10.03125,
1056,994.875,10.15625,
1057,1042.625,10.0,
1058,955.25,10.0625,
1059,946.59375,9.96875,
1060,921.96875,10.0625,
1061,896.875,10.03125,
1062,994.6875,9.75,
1063,970.4375,10.125,
1064,1026.875,10.125,
1065,935.0,10.09375,
1066,954.625,10.28125,
1067,956.5625,10.09375,
1068,994.59375,10.15625,
1069,1009.5,9.875,
1070,989.59375,10.125,
1071,1029.65625,10.09375,
1072,902.15625,10.0,
1073,922.9375,10.03125,
1074,996.0625,10.09375,
1075,903.03125,10.25,
1076,995.3125,10.1875,
1077,949.875,10.0,
1078,983.28125,10.25,
1079,947.375,10.125,
1080,1014.40625,10.21875,
1081,1012.40625,10.09375,
1082,1049.21875,10.125,
1083,993.59375,10.125,
1084,1084.0,10.0,
1085,988.46875,9.90625,
1086,1038.21875,10.0,
1087,938.34375,10.21875,
1088,963.40625,10.125,
1089,1003.03125,10.09375,
1090,945.4375,10.125,
1091,944.34375,10.09375,
1092,947.875,10.28125,
1093,949.0,10.15625,
1094,1008.4375,10.125,
1095,1080.8125,9.96875,
1096,939.03125,10.15625,
1097,1091.09375,10.25,
1098,1061.78125,10.25,
1099,1084.65625,10.0625,
1100,1057.46875,10.125,
1101,979.75,10.0625,
1102,931.40625,10.09375,
1103,915.375,10.46875,
1104,1040.0625,10.15625,
1105,941.34375,10.0625,
1106,973.40625,10.28125,
